0: X: 3.500000, Y: 0.000000, Z: 4.000000
1: X: 3.464812, Y: 0.000000, Z: 4.088594
2: X: 3.451000, Y: 0.000000, Z: 4.157500
3: X: 3.455563, Y: 0.000000, Z: 4.206718
4: X: 3.475500, Y: 0.000000, Z: 4.236250
5: X: 3.507813, Y: 0.000000, Z: 4.246094
6: X: 3.549500, Y: 0.000000, Z: 4.236250
7: X: 3.597563, Y: 0.000000, Z: 4.206718
8: X: 3.649000, Y: 0.000000, Z: 4.157500
9: X: 3.700812, Y: 0.000000, Z: 4.088593
10: X: 3.750000, Y: 0.000000, Z: 4.000000
11: X: 3.454920, Y: -0.574280, Z: 4.000000
12: X: 3.420186, Y: -0.568506, Z: 4.088594
13: X: 3.406551, Y: -0.566240, Z: 4.157500
14: X: 3.411055, Y: -0.566989, Z: 4.206718
15: X: 3.430736, Y: -0.570260, Z: 4.236250
16: X: 3.462632, Y: -0.575562, Z: 4.246094
17: X: 3.503783, Y: -0.582402, Z: 4.236250
18: X: 3.551226, Y: -0.590288, Z: 4.206718
19: X: 3.602001, Y: -0.598728, Z: 4.157500
20: X: 3.653146, Y: -0.607229, Z: 4.088593
21: X: 3.701700, Y: -0.615300, Z: 4.000000
22: X: 3.324160, Y: -1.116640, Z: 4.000000
23: X: 3.290740, Y: -1.105414, Z: 4.088594
24: X: 3.277622, Y: -1.101007, Z: 4.157500
25: X: 3.281955, Y: -1.102463, Z: 4.206718
26: X: 3.300891, Y: -1.108824, Z: 4.236250
27: X: 3.331580, Y: -1.119133, Z: 4.246094
28: X: 3.371173, Y: -1.132432, Z: 4.236250
29: X: 3.416821, Y: -1.147766, Z: 4.206718
30: X: 3.465674, Y: -1.164177, Z: 4.157500
31: X: 3.514884, Y: -1.180707, Z: 4.088593
32: X: 3.561600, Y: -1.196400, Z: 4.000000
33: X: 3.114440, Y: -1.620360, Z: 4.000000
34: X: 3.083129, Y: -1.604070, Z: 4.088594
35: X: 3.070838, Y: -1.597675, Z: 4.157500
36: X: 3.074898, Y: -1.599787, Z: 4.206718
37: X: 3.092639, Y: -1.609018, Z: 4.236250
38: X: 3.121392, Y: -1.623977, Z: 4.246094
39: X: 3.158487, Y: -1.643277, Z: 4.236250
40: X: 3.201255, Y: -1.665528, Z: 4.206718
41: X: 3.247026, Y: -1.689341, Z: 4.157500
42: X: 3.293131, Y: -1.713328, Z: 4.088593
43: X: 3.336900, Y: -1.736100, Z: 4.000000
44: X: 2.832480, Y: -2.078720, Z: 4.000000
45: X: 2.804004, Y: -2.057822, Z: 4.088594
46: X: 2.792825, Y: -2.049618, Z: 4.157500
47: X: 2.796518, Y: -2.052328, Z: 4.206718
48: X: 2.812653, Y: -2.064169, Z: 4.236250
49: X: 2.838802, Y: -2.083360, Z: 4.246094
50: X: 2.872540, Y: -2.108119, Z: 4.236250
51: X: 2.911435, Y: -2.136664, Z: 4.206718
52: X: 2.953063, Y: -2.167214, Z: 4.157500
53: X: 2.994994, Y: -2.197987, Z: 4.088593
54: X: 3.034800, Y: -2.227200, Z: 4.000000
55: X: 2.485000, Y: -2.485000, Z: 4.000000
56: X: 2.460017, Y: -2.460017, Z: 4.088594
57: X: 2.450210, Y: -2.450210, Z: 4.157500
58: X: 2.453449, Y: -2.453449, Z: 4.206718
59: X: 2.467605, Y: -2.467605, Z: 4.236250
60: X: 2.490547, Y: -2.490547, Z: 4.246094
61: X: 2.520145, Y: -2.520145, Z: 4.236250
62: X: 2.554269, Y: -2.554269, Z: 4.206718
63: X: 2.590790, Y: -2.590790, Z: 4.157500
64: X: 2.627577, Y: -2.627577, Z: 4.088593
65: X: 2.662500, Y: -2.662500, Z: 4.000000
66: X: 2.078720, Y: -2.832480, Z: 4.000000
67: X: 2.057821, Y: -2.804004, Z: 4.088594
68: X: 2.049618, Y: -2.792825, Z: 4.157500
69: X: 2.052328, Y: -2.796518, Z: 4.206718
70: X: 2.064169, Y: -2.812653, Z: 4.236250
71: X: 2.083360, Y: -2.838803, Z: 4.246094
72: X: 2.108119, Y: -2.872540, Z: 4.236250
73: X: 2.136664, Y: -2.911435, Z: 4.206718
74: X: 2.167214, Y: -2.953063, Z: 4.157500
75: X: 2.197986, Y: -2.994994, Z: 4.088593
76: X: 2.227200, Y: -3.034800, Z: 4.000000
77: X: 1.620360, Y: -3.114440, Z: 4.000000
78: X: 1.604069, Y: -3.083129, Z: 4.088594
79: X: 1.597675, Y: -3.070838, Z: 4.157500
80: X: 1.599787, Y: -3.074898, Z: 4.206718
